Row ID,Issue shape,Expected value (ground truth),Supplier persona
R00002,stale,Monomer,cooperative
R00003,vague-freetext,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",cooperative
R00006,placeholder,All substances manufactured/sourced from within the EU,cooperative
R00007,vague-freetext,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",cooperative
R00008,wrong-option,Laboratory analysis,cooperative
R00011,stale,Material declaration,cooperative
R00014,wrong-format,Material declaration and laboratory ananlysis,cooperative
R00016,stale,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",cooperative
R00021,vague-freetext,Not Compliant,cooperative
R00022,stale,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",cooperative
R00023,vague-freetext,Supplier declaration and laboratory analysis,cooperative
R00025,wrong-format,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",cooperative
R00027,blank,Exempt,cooperative
R00028,blank,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",cooperative
R00029,stale,Material declaration and laboratory ananlysis,cooperative
R00033,placeholder,Not Compliant,cooperative
R00036,placeholder,No,cooperative
R00043,placeholder,Complaint,cooperative
R00048,stale,Supplier declaration and material declaration,cooperative
R00051,stale,Laboratory analysis,cooperative
R00052,placeholder,No,cooperative
R00056,wrong-option,"Confirmed per supplier declaration for please list all included silicone compounds with their cas numbers and concentrations:, evidence on file.",cooperative
R00058,vague-freetext,Not Affected,cooperative
R00060,placeholder,Laboratory analysis,cooperative
R00064,blank,Yes,cooperative
R00066,vague-freetext,Supplier declaration and material declaration,cooperative
R00076,wrong-option,Supplier declaration,cooperative
R00078,blank,This product does contain GADSL listet substances,cooperative
R00080,wrong-option,Presumption (without evidence),cooperative
R00085,wrong-format,"Confirmed per supplier declaration for please list all included food allergens with their cas numbers and concentrations:, evidence on file.",cooperative
R00088,placeholder,"Confirmed per supplier declaration for please state eu foodlaw status of your product incl. the relevant paragpraph, evidence on file.",cooperative
R00090,wrong-format,Exempt,cooperative
R00092,wrong-option,Supplier declaration,cooperative
R00093,blank,Listed,cooperative
R00095,wrong-option,Laboratory analysis,cooperative
R00098,stale,Supplier declaration and material declaration,cooperative
R00100,placeholder,"Confirmed per supplier declaration for please state foodlaw status of your product incl. the relevant us fda paragpraph, evidence on file.",cooperative
R00104,stale,Supplier declaration and material declaration,cooperative
R00109,wrong-option,"Confirmed per supplier declaration for substance, evidence on file.",cooperative
R00110,placeholder,Supplier declaration and laboratory analysis,cooperative
R00112,wrong-option,"Confirmed per supplier declaration for substance, evidence on file.",cooperative
R00113,vague-freetext,Supplier declaration and laboratory analysis,cooperative
R00115,wrong-format,"Confirmed per supplier declaration for substance, evidence on file.",cooperative
R00116,placeholder,Presumption (without evidence),cooperative
R00120,stale,Not Compliant,cooperative
R00122,stale,Supplier declaration,cooperative
R00128,vague-freetext,Laboratory analysis,cooperative
R00130,vague-freetext,"Confirmed per supplier declaration for substance, evidence on file.",cooperative
R00132,wrong-format,Exempt,cooperative
R00133,placeholder,"Confirmed per supplier declaration for substance, evidence on file.",cooperative
R00134,stale,Supplier declaration and laboratory analysis,cooperative
R00141,wrong-option,"Confirmed per supplier declaration for substance name, evidence on file.",cooperative
R00142,stale,"Confirmed per supplier declaration for cas no. , evidence on file.",cooperative
R00144,wrong-option,"Confirmed per supplier declaration for additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method., evidence on file.",cooperative
R00145,vague-freetext,"Confirmed per supplier declaration for substance name, evidence on file.",cooperative
R00146,wrong-option,"Confirmed per supplier declaration for cas no. , evidence on file.",cooperative
R00152,vague-freetext,"Confirmed per supplier declaration for additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method., evidence on file.",cooperative
R00158,placeholder,"Confirmed per supplier declaration for cas no. , evidence on file.",cooperative
R00165,placeholder,"Confirmed per supplier declaration for substance name, evidence on file.",cooperative
R00167,placeholder,"Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.",cooperative
R00169,vague-freetext,"Confirmed per supplier declaration for substance name, evidence on file.",cooperative
R00171,vague-freetext,"Confirmed per supplier declaration for substance concentration (in %)
the concentration of the substance as a percentage of the homogeneous mass of the material., evidence on file.",cooperative
R00174,vague-freetext,"Confirmed per supplier declaration for cas no. , evidence on file.",cooperative
R00176,blank,"Confirmed per supplier declaration for additional information
e.g. name of the product part where the substance is located, use of an applicable exception incl. number, measuring method., evidence on file.",cooperative
R00188,blank,"Confirmed per supplier declaration for additional information
source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., iscc, mass balanced), measuring method, etc., evidence on file.",cooperative
R00190,stale,"Confirmed per supplier declaration for additional information
source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., iscc, mass balanced), measuring method, etc., evidence on file.",cooperative
R00192,wrong-format,"Confirmed per supplier declaration for additional information
source of the recycled material (e.g., post-industrial vs. post consumer), type of recycling (e.g., mechanical), type of certification (e.g., iscc, mass balanced), measuring method, etc., evidence on file.",cooperative
R00202,wrong-format,See attached documentation,cooperative
R00208,vague-freetext,procurement context,cooperative
R00209,wrong-format,NDA-restricted,cooperative
R00211,wrong-format,"Confirmed per supplier declaration for site name, evidence on file.",cooperative
R00212,wrong-format,ISO country list,cooperative
R00214,wrong-format,"ISO 14001 - Environmental Management / ISO 45001 - Occupational, Health & Safety",cooperative
R00215,wrong-format,"Confirmed per supplier declaration for certificate for supplier entity, evidence on file.",cooperative
R00217,blank,See attached documentation,cooperative
R00219,wrong-option,other,slow-partial
R00224,vague-freetext,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",slow-partial
R00233,stale,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",slow-partial
R00235,wrong-format,Complaint,slow-partial
R00236,vague-freetext,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",slow-partial
R00240,placeholder,Supplier declaration and laboratory analysis,slow-partial
R00242,placeholder,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",slow-partial
R00243,wrong-format,Laboratory analysis,slow-partial
R00245,stale,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",slow-partial
R00246,stale,Laboratory analysis,slow-partial
R00249,vague-freetext,Supplier declaration,slow-partial
R00253,vague-freetext,No,slow-partial
R00254,wrong-option,"Confirmed per supplier declaration for if yes, please list all inlcuded halogens with their cas numbers and concentrations:, evidence on file.",slow-partial
R00257,vague-freetext,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",slow-partial
R00258,placeholder,Material declaration,slow-partial
R00259,wrong-option,No,slow-partial
R00260,wrong-format,Complaint,slow-partial
R00262,blank,Supplier declaration and material declaration,slow-partial
R00263,stale,Yes,slow-partial
R00264,vague-freetext,"Confirmed per supplier declaration for please list all included phthalates except those which are mentioned in annex xvii reach (entry 51) with their cas numbers and concentrations:, evidence on file.",slow-partial
R00265,blank,Supplier declaration,slow-partial
R00270,blank,"Confirmed per supplier declaration for please list all included antimony compounds with their cas numbers and concentrations:, evidence on file.",slow-partial
R00276,placeholder,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",slow-partial
R00279,wrong-option,"Confirmed per supplier declaration for if yes, which particle size?
please list the particle size of the nano substance:, evidence on file.",slow-partial
R00283,placeholder,Supplier declaration and laboratory analysis,slow-partial
R00284,wrong-format,Complaint,slow-partial
R00286,stale,Material declaration,slow-partial
R00288,placeholder,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.",slow-partial
R00289,placeholder,Laboratory analysis,slow-partial
R00290,placeholder,Complaint,slow-partial
R00294,blank,Intentionally added,slow-partial
R00296,placeholder,"Confirmed per supplier declaration for please list all gadsl listet substances including the cas numbers and concentrations:, evidence on file.",slow-partial
R00297,placeholder,Supplier declaration and material declaration,slow-partial
R00301,blank,No,slow-partial
R00305,blank,"Confirmed per supplier declaration for please state eu foodlaw status of your product incl. the relevant paragpraph, evidence on file.",slow-partial
R00306,blank,Material declaration,slow-partial
R00312,placeholder,Supplier declaration,slow-partial
R00313,vague-freetext,No,slow-partial
R00315,wrong-format,Supplier declaration and material declaration,slow-partial
R00319,vague-freetext,Not Compliant,slow-partial
R00321,wrong-option,Laboratory analysis,slow-partial
R00322,wrong-option,Complaint,slow-partial
R00324,wrong-format,Material declaration and laboratory ananlysis,slow-partial
R00325,blank,Not Compliant,slow-partial
R00326,stale,"Confirmed per supplier declaration for substance, evidence on file.",slow-partial
