Row ID,Supplier ID,Supplier Name,NART,Use case,Module (ID),Category,Section,Field (label),Field Type,Required @ go-live,Editable by supplier,Value submitted,Submission date,Status,Region,Industry
DEMO20-01-F1,DEMO20-01,Demo Alder Motion,DEMO20-01-ARTICLE,MDF,DEMO,Automotive,Missing quality certificate expiry,Quality certificate valid until,Date,Yes,yes,,,Missing,EMEA,Automotive
DEMO20-01-F2,DEMO20-01,Demo Alder Motion,DEMO20-01-ARTICLE,MDF,DEMO,Automotive,Missing quality certificate expiry,Supporting evidence reference,Freetext,Yes,yes,,,Missing,EMEA,Automotive
DEMO20-01-F3,DEMO20-01,Demo Alder Motion,DEMO20-01-ARTICLE,MDF,DEMO,Automotive,Missing quality certificate expiry,Product family confirmation,Freetext,Yes,yes,Demo product family 01,2025-01-15,Complete,EMEA,Automotive
DEMO20-02-F1,DEMO20-02,Demo Birch Packaging,DEMO20-02-ARTICLE,MDF,DEMO,Packaging,Outdated recycled content,Recycled content statement,Freetext,Yes,yes,30% recycled paper,2025-01-15,Outdated,EMEA,Packaging
DEMO20-02-F2,DEMO20-02,Demo Birch Packaging,DEMO20-02-ARTICLE,MDF,DEMO,Packaging,Outdated recycled content,Supporting evidence reference,Freetext,Yes,yes,,,Missing,EMEA,Packaging
DEMO20-02-F3,DEMO20-02,Demo Birch Packaging,DEMO20-02-ARTICLE,MDF,DEMO,Packaging,Outdated recycled content,Product family confirmation,Freetext,Yes,yes,Demo product family 02,2025-01-15,Complete,EMEA,Packaging
DEMO20-03-F1,DEMO20-03,Demo Cedar Circuits,DEMO20-03-ARTICLE,MDF,DEMO,Electronics,Conflicting material composition,Material composition,Freetext,Yes,yes,Copper content reported as both 40% and 60%,2025-01-15,Flagged (needs supplier confirmation),APAC,Electronics
DEMO20-03-F2,DEMO20-03,Demo Cedar Circuits,DEMO20-03-ARTICLE,MDF,DEMO,Electronics,Conflicting material composition,Supporting evidence reference,Freetext,Yes,yes,,,Missing,APAC,Electronics
DEMO20-03-F3,DEMO20-03,Demo Cedar Circuits,DEMO20-03-ARTICLE,MDF,DEMO,Electronics,Conflicting material composition,Product family confirmation,Freetext,Yes,yes,Demo product family 03,2025-01-15,Complete,APAC,Electronics
DEMO20-04-F1,DEMO20-04,Demo Dune Fabrics,DEMO20-04-ARTICLE,MDF,DEMO,Textiles,Missing country of manufacture,Country of manufacture,Freetext,Yes,yes,,,Missing,APAC,Textiles
DEMO20-04-F2,DEMO20-04,Demo Dune Fabrics,DEMO20-04-ARTICLE,MDF,DEMO,Textiles,Missing country of manufacture,Supporting evidence reference,Freetext,Yes,yes,,,Missing,APAC,Textiles
DEMO20-04-F3,DEMO20-04,Demo Dune Fabrics,DEMO20-04-ARTICLE,MDF,DEMO,Textiles,Missing country of manufacture,Product family confirmation,Freetext,Yes,yes,Demo product family 04,2025-01-15,Complete,APAC,Textiles
DEMO20-05-F1,DEMO20-05,Demo Ember Components,DEMO20-05-ARTICLE,MDF,DEMO,Industrial,Outdated energy sourcing statement,Electricity sourcing statement,Freetext,Yes,yes,2024 grid electricity,2025-01-15,Outdated,AMER,Industrial
DEMO20-05-F2,DEMO20-05,Demo Ember Components,DEMO20-05-ARTICLE,MDF,DEMO,Industrial,Outdated energy sourcing statement,Supporting evidence reference,Freetext,Yes,yes,,,Missing,AMER,Industrial
