Row ID,Issue shape,Persona,Expected value (ground truth),Round1 reply,Round2 reply,Round3 reply,Resolution round,Final workflow status
R000012,blank,over-verbose,Listed,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Listed. Let us know if anything else is needed.",,,1,Closed
R000016,wrong-format,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000017,vague-freetext,over-verbose,Material declaration and laboratory ananlysis,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Material declaration and laboratory ananlysis. Let us know if anything else is needed.",,,1,Closed
R000018,wrong-option,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000019,wrong-option,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000020,placeholder,over-verbose,Presumption (without evidence),"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Presumption (without evidence). Let us know if anything else is needed.",,,1,Closed
R000021,stale,over-verbose,Complaint,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Complaint. Let us know if anything else is needed.",,,1,Closed
R000022,wrong-format,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000025,placeholder,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000026,wrong-option,over-verbose,Presumption (without evidence),"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Presumption (without evidence). Let us know if anything else is needed.",,,1,Closed
R000030,placeholder,over-verbose,Not Compliant,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Not Compliant. Let us know if anything else is needed.",,,1,Closed
R000034,stale,over-verbose,"Confirmed per supplier declaration for declaration of comformidity, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for declaration of comformidity, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000036,wrong-option,over-verbose,Yes,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Yes. Let us know if anything else is needed.",,,1,Closed
R000038,stale,over-verbose,Presumption (without evidence),"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Presumption (without evidence). Let us know if anything else is needed.",,,1,Closed
R000044,placeholder,over-verbose,"Confirmed per supplier declaration for please list all included substances of animal origin or ethanol with their cas numbers and concentrations:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please list all included substances of animal origin or ethanol with their cas numbers and concentrations:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000046,placeholder,over-verbose,Yes,"Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Yes. Let us know if anything else is needed.",,,1,Closed
R000053,vague-freetext,over-verbose,"Confirmed per supplier declaration for please list all included antimony compounds with their cas numbers and concentrations:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please list all included antimony compounds with their cas numbers and concentrations:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
R000056,wrong-format,over-verbose,"Confirmed per supplier declaration for please list all included silicone compounds with their cas numbers and concentrations:, evidence on file.","Thanks for reaching out. Regarding your question, after checking internally with our QA and regulatory team, our answer is: Confirmed per supplier declaration for please list all included silicone compounds with their cas numbers and concentrations:, evidence on file.. Let us know if anything else is needed.",,,1,Closed
